skip,sample_number,material,amount_mg,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,Analysis,Enriched?,Estimated Enrichment,OurLabID,Analysis Number,source_file,13C (at-%),15N (at-%)
,6489,herbaceous plant,4.2,-29.02,1895.21,Contains more carbon than largest standard,27.3,85.02,,BBWM HERB3,F9,"13C, 15N",yes,,759981,241536,Spencer BBWM-Herb3 1014,,0.37626
,6490,herbaceous plant,4.33,,2127.07,Too large - total C given as estimate only,103.22,54.28,,BBWM HERB3,F10,"13C, 15N",yes,,759982,241537,Spencer BBWM-Herb3 1014,,0.40396
,6490,Herbaceous Sample,4.09,-32.49,2072.43,,,,,BBWM HERB 3 RE,A7,13C,yes,,773570,8045,Spencer BBWM-Herb3RE 1114,1.07552,
,6491,herbaceous plant,3.9,-32.15,1916.59,Contains more carbon than largest standard,68.41,101.49,,BBWM HERB3,F11,"13C, 15N",yes,,759983,241538,Spencer BBWM-Herb3 1014,,0.39126
,6492,herbaceous plant,4.03,-31.74,1873.77,Contains more carbon than largest standard,93.78,109.98,,BBWM HERB3,F12,"13C, 15N",yes,,759984,241539,Spencer BBWM-Herb3 1014,,0.40052
,6496,herbaceous plant,4,-32.54,1959.16,Contains more carbon than largest standard,73.98,45.33,,BBWM HERB3,G1,"13C, 15N",yes,,759985,241543,Spencer BBWM-Herb3 1014,,0.3933
,6497,herbaceous plant,3.95,-32.74,1863.03,Contains more carbon than largest standard,102.74,100.55,,BBWM HERB3,G2,"13C, 15N",yes,,759986,241544,Spencer BBWM-Herb3 1014,,0.40378
,6498,herbaceous plant,4.23,-33.22,2001.5,Contains more carbon than largest standard,40.53,108.1,,BBWM HERB3,G3,"13C, 15N",yes,,759987,241545,Spencer BBWM-Herb3 1014,,0.38109
,6499,herbaceous plant,3.97,-33.93,1743.91,,104.75,97.7,,BBWM HERB3,G4,"13C, 15N",yes,,759988,241546,Spencer BBWM-Herb3 1014,,0.40452
,6500,herbaceous plant,4.07,-31.2,1841.51,Contains more carbon than largest standard,62.54,72.4,,BBWM HERB3,G5,"13C, 15N",yes,,759989,241547,Spencer BBWM-Herb3 1014,,0.38912
,6502,herbaceous plant,4.03,-33,2022.57,Contains more carbon than largest standard,125.23,35.42,,BBWM HERB3,G6,"13C, 15N",yes,,759990,241548,Spencer BBWM-Herb3 1014,,0.41199
,6503,herbaceous plant,4.13,-32.4,1959.16,Contains more carbon than largest standard,69.82,94.38,,BBWM HERB3,G7,"13C, 15N",yes,,759991,241549,Spencer BBWM-Herb3 1014,,0.39178
,6504,herbaceous plant,4.24,-32.73,1916.59,Contains more carbon than largest standard,82.38,90.56,,BBWM HERB3,G8,"13C, 15N",yes,,759992,241550,Spencer BBWM-Herb3 1014,,0.39636
,6508,herbaceous plant,3.93,-31.41,1852.28,Contains more carbon than largest standard,101.67,40.48,,BBWM HERB3,G9,"13C, 15N",yes,,759993,241551,Spencer BBWM-Herb3 1014,,0.4034
,6509,herbaceous plant,4.01,-32.64,1841.51,Contains more carbon than largest standard,48.82,93.04,,BBWM HERB3,G10,"13C, 15N",yes,,759994,241552,Spencer BBWM-Herb3 1014,,0.38412
,6514,herbaceous plant,4.27,-31.7,2064.55,Contains more carbon than largest standard,60.81,60.93,,BBWM HERB3,G11,"13C, 15N",yes,,759995,241553,Spencer BBWM-Herb3 1014,,0.38849
skip,BLANK1,blank capsule,0,,,no sample,,,no sample,BBWM HERB1,B8,"13C, 15N",no,,503841,,BBWM Herb 1 results,,
skip,R6102,herbaceous plant,4.03,-19.75,3.61,Too small,,,Below detection,BBWM HERB1,B7,"13C, 15N",yes,,503840,52454,BBWM Herb 1 results,,
