material,year,watershed,forest,species,horizon,depth,sample_wt_mg,C_ug,N_ug,C_mg_g,d13C_permil,d15N_permil,TrayName,WellID,enriched,plot,tree,OurLabID,analysis_number,sample_id,d13C_comment,d15N_comment,source_file
foliage,2013,WB,,SM,,,3.95,1874.479,80.67,474.552,-30.372,9.703,BBWM Foliage3,A12,yes,I15,3,680846,5095,5112,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,AB,,,4.31,1973.396,105.826,457.864,-30.459,20.354,BBWM Foliage3,B1,yes,K15,3,680847,5099,5113,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,AB,,,3.99,1884.39,110.721,472.278,-29.645,11.65,BBWM Foliage3,B2,yes,K15,1,680848,5100,5114,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,SM,,,4.3,2115.087,100.093,491.881,-31.168,3.578,BBWM Foliage3,B3,yes,L13,6,680849,5101,5115,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,SM,,,3.98,1902.219,80.421,477.944,-29.517,1.8,BBWM Foliage3,B4,yes,N10,5,680850,5102,5116,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,RM,,,4.33,2154.289,84.576,497.526,-28.308,8.191,BBWM Foliage3,B5,yes,N11,10,680851,5103,5117,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,SM,,,4.03,1943.765,92.686,482.324,-29.35,5.533,BBWM Foliage3,B6,yes,N12,6,680852,5104,5118,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,RM,,,3.98,1933.88,88.555,485.9,-27.799,2.839,BBWM Foliage3,B7,yes,P11,2,680853,5105,5119,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,RS,,,4.11,2115.087,58.444,514.62,-28.815,4.407,BBWM Foliage3,F7,yes,Q10,2,680901,5164,5120,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,AB,,,4.39,2134.697,104.19,486.263,-29.716,1.826,BBWM Foliage3,B8,yes,Q10,13,680854,5106,5121,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,AB,,,4.31,2030.572,95.16,471.13,-29.973,3.906,BBWM Foliage3,B9,yes,Q10,5,680855,5107,5122,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,SM,,,4.14,1977.343,92.686,477.619,-30.468,2.058,BBWM Foliage3,B10,yes,Q9,2,680856,5108,5123,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,WB,,RM,,,4.07,1922.012,75.501,472.239,-29.824,1.586,BBWM Foliage3,F8,yes,Q9,1,680902,5165,5124,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,RS,,,4.3,2154.289,48.266,500.997,-28.455,8.74,BBWM Foliage3,B11,yes,K23,12,680857,5109,5125,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,SM,,,3.9,1916.076,80.254,491.301,-29.749,1.455,BBWM Foliage3,B12,yes,M16,5,680858,5110,5126,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,RM,,,4.22,2095.46,84.244,496.555,-29.911,1.785,BBWM Foliage3,C1,yes,M16,1,680859,5114,5127,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,RS,,,3.9,1779.118,27.094,456.184,-28.594,9.64,BBWM Foliage3,C2,yes,N21,8,680860,5115,5128,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,AB,,,4.39,2232.489,119.649,508.54,-30.21,4.028,BBWM Foliage3,C5,yes,N21,11,680863,5118,5129,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,YB,,,4.33,2075.817,95.16,479.403,-29.595,12.528,BBWM Foliage3,C6,yes,N21,9,680864,5119,5130,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,YB,,,4.34,2115.087,114.787,487.347,-30.985,6.839,BBWM Foliage3,C7,yes,N21,12,680865,5120,5131,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,RM,,,4.4,2446.132,86.07,555.939,-27.003,1.665,BBWM Foliage3,C8,yes,O14,2,680866,5121,5132,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,RM,,,4.05,2056.156,88.555,507.693,-29.185,-0.18,BBWM Foliage3,C9,yes,O20,3,680867,5122,5133,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,SM,,,3.9,1818.9,82.832,466.385,-28.13,-0.958,BBWM Foliage3,C10,yes,P19,4,680868,5123,5134,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,AB,,,4,1862.58,91.861,465.645,-29.879,3.863,BBWM Foliage3,C11,yes,P21,1,680869,5124,5135,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,AB,,,4.5,2134.697,115.598,474.377,-29.498,14.499,BBWM Foliage3,C12,yes,P21,2,680870,5125,5136,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,YB,,,4.23,2368.682,100.093,559.972,-31.004,7.802,BBWM Foliage3,D1,yes,P22,17,680871,5128,5137,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,RS,,,4.5,2212.964,54.72,491.77,-28.952,3.682,BBWM Foliage3,D2,yes,P24,10,680872,5129,5138,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,AB,,,4.15,2075.817,106.643,500.197,-30.174,2.893,BBWM Foliage3,D3,yes,P24,1,680873,5130,5139,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,AB,,,3.8,1701.349,95.16,447.723,-30.224,4.745,BBWM Foliage3,D4,yes,P24,2,680874,5131,5140,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,RM,,,4.53,2290.959,93.511,505.731,-28.049,0.018,BBWM Foliage3,D5,yes,Q18,3,680875,5132,5141,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,YB,,,4.04,1953.646,100.093,483.576,-30.222,8.533,BBWM Foliage3,D6,yes,Q18,5,680876,5133,5142,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,YB,,,4.2,1997.072,105.008,475.493,-29.032,3.593,BBWM Foliage3,D7,yes,Q18,1,680877,5134,5143,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,SM,,,4.56,2232.489,95.16,489.581,-29.175,0.218,BBWM Foliage3,D8,yes,Q19,6,680878,5135,5144,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,RM,,,3.91,1862.58,66.031,476.363,-28.232,1.06,BBWM Foliage3,D9,yes,Q19,7,680879,5136,5145,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,SM,,,4.13,1874.479,67.964,453.869,-28.303,-0.196,BBWM Foliage3,D10,yes,R15,13,680880,5137,5146,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,RS,,,4.49,2310.416,42.894,514.569,-27.383,5.04,BBWM Foliage3,D11,yes,R20,31,680881,5138,5147,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,SM,,,4.34,2173.864,88.555,500.89,-28.014,-0.607,BBWM Foliage3,D12,yes,S12,12,680882,5139,5148,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2013,EB,,RS,,,4.59,2561.796,50.562,558.125,-29.241,-0.181,BBWM Foliage3,E1,yes,S22,11,680883,5143,5149,,,SPENCER BBWM-FOLIAGE3 0314
foliage,2014,WB,,RS,,,4.14,2120.685,46.715,512.243,-28.415,3.461,BBWMFoliage4,A1,yes,D20,20,764185,146233,5200,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,YB,,,4.21,1978.816,94.569,470.028,-30.35,5.402,BBWMFoliage4,A2,yes,D20,17,764186,146234,5201,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,AB,,,4.14,2043.278,117.939,493.545,-32.158,3.519,BBWMFoliage4,A3,yes,E20,7,764187,146235,5202,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,YB,,,4.09,2017.489,93.667,493.273,-28.509,10.161,BBWMFoliage4,A4,yes,E20,1,764188,146236,5203,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,YB,,,4.34,2017.489,114.356,464.859,-31.411,10.763,BBWMFoliage4,A5,yes,E20,11,764189,146237,5204,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,RS,,,4.18,1940.158,40.197,464.153,-27.473,4.928,BBWMFoliage4,A6,yes,F23,14,764190,146238,5205,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,RM,,,4.14,1759.94,80.548,425.106,-28.824,2.013,BBWMFoliage4,A7,yes,F23,8,764191,146239,5206,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,RS,,,3.95,1965.928,38.726,497.703,-25.885,10.394,BBWMFoliage4,A8,yes,F24,7,764192,146240,5207,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,YB,,,4.18,1991.705,123.306,476.485,-28.92,14.784,BBWMFoliage4,A9,yes,F24,11,764193,146241,5208,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,YB,,,4.23,2017.489,125.985,476.948,-29.454,6.421,BBWMFoliage4,A10,yes,F24,6,764194,146242,5209,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,RS,,,4.17,2094.876,52.029,502.368,-28.05,14.475,BBWMFoliage4,A11,yes,H13,22,764195,146243,5210,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,RM,,,3.96,1875.759,70.92,473.676,-28.985,6.559,BBWMFoliage4,A12,yes,H13,6,764196,146244,5211,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,SM,,,4.04,1940.158,97.275,480.237,-29.854,8.849,BBWMFoliage4,B1,yes,I15,3,764197,146248,5212,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,AB,,,4,1862.884,107.176,465.721,-28.287,9.411,BBWMFoliage4,B2,yes,K15,3,764198,146249,5213,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,AB,,,4.25,2146.5,108.973,505.059,-27.74,16.382,BBWMFoliage4,B3,yes,K15,1,764199,146250,5214,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,SM,,,3.96,1901.513,95.471,480.18,-28.884,3.103,BBWMFoliage4,B4,yes,L13,6,764200,146251,5215,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,SM,,,3.97,1940.158,87.521,488.705,-25.735,5.23,BBWMFoliage4,B5,yes,N10,5,764201,146252,5216,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,RM,,,4.07,1991.705,81.907,489.362,-26.311,10.437,BBWMFoliage4,B6,yes,N11,10,764202,146253,5217,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,SM,,,3.97,1914.393,79.006,482.215,-28.485,5.179,BBWMFoliage4,B7,yes,N12,6,764203,146254,5218,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,RM,,,4.07,1978.816,86.164,486.196,-28.125,2.449,BBWMFoliage4,B8,yes,P11,2,764204,146255,5219,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,RS,,,4.29,2133.591,58.157,497.341,-30.378,5.435,BBWMFoliage4,B9,yes,Q10,2,764205,146256,5220,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,AB,,,4.13,1862.884,74.92,451.061,-28.663,3.256,BBWMFoliage4,B10,yes,Q10,13,764206,146257,5221,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,AB,,,4.12,1965.928,101.78,477.167,-28.538,4.259,BBWMFoliage4,B11,yes,Q10,5,764207,146258,5222,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,SM,,,4.04,1772.802,76.101,438.812,-29.631,3.192,BBWMFoliage4,B12,yes,Q9,2,764208,146259,5223,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,WB,,RM,,,3.91,1875.759,93.667,479.734,-28.823,2.031,BBWMFoliage4,C1,yes,Q9,1,764209,146266,5224,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,RS,,,4.01,2004.596,34.493,499.899,-26.788,8.237,BBWMFoliage4,C2,yes,K23,12,764210,146267,5225,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,SM,,,4.25,2030.383,76.918,477.737,-27.859,2.415,BBWMFoliage4,C3,yes,M16,5,764211,146268,5226,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,RM,,,4.16,1991.705,78.008,478.775,-29.78,2.419,BBWMFoliage4,C4,yes,M16,1,764212,146269,5227,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,RS,,,3.96,1991.705,34.033,502.956,-27.198,8.57,BBWMFoliage4,C5,yes,N21,8,764213,146270,5228,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,AB,,,4.09,1965.928,101.78,480.667,-30.066,4.615,BBWMFoliage4,C6,yes,N21,11,764214,146271,5229,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,YB,,,4.22,1953.042,107.176,462.806,-28.663,15.795,BBWMFoliage4,C7,yes,N21,9,764215,146272,5230,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,YB,,,4,1850.01,95.471,462.503,-29.931,7.293,BBWMFoliage4,C8,yes,N21,12,764216,146273,5231,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,RM,,,4.23,2043.278,76.01,483.044,-26.068,4.526,BBWMFoliage4,C9,yes,O14,2,764217,146274,5232,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,RM,,,4.29,2120.685,89.782,494.332,-27.399,0.18,BBWMFoliage4,C10,yes,O20,3,764218,146275,5233,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,SM,,,3.94,1850.01,85.802,469.546,-28.124,-0.061,BBWMFoliage4,C11,yes,P19,4,764219,146276,5234,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,AB,,,3.95,1862.884,65.275,471.616,-29.967,6.644,BBWMFoliage4,C12,yes,P21,1,764220,146277,5235,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,AB,,,4.17,1837.138,91.861,440.561,-30.336,8.843,BBWMFoliage4,D1,yes,P21,2,764221,146281,5236,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,YB,,,4.33,2030.383,90.957,468.911,-30.001,8.652,BBWMFoliage4,D2,yes,P22,17,764222,146282,5237,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,RS,,,4.28,2185.234,51.846,510.569,-29,6.937,BBWMFoliage4,D3,yes,P24,10,764223,146283,5238,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,AB,,,3.93,1798.532,89.873,457.642,-28.303,3.343,BBWMFoliage4,D4,yes,P24,1,764224,146284,5239,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,AB,,,4.15,1991.705,101.78,479.929,-28.617,6.562,BBWMFoliage4,D5,yes,P24,2,764225,146285,5240,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,RM,,,4.01,2056.175,80.094,512.762,-28.347,-0.457,BBWMFoliage4,D6,yes,Q18,3,764226,146286,5241,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,YB,,,3.94,1888.635,85.44,479.349,-29.649,8.109,BBWMFoliage4,D7,yes,Q18,5,764227,146287,5242,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,YB,,,3.98,1862.884,89.33,468.061,-29.516,8.646,BBWMFoliage4,D8,yes,Q18,1,764228,146288,5243,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,SM,,,3.93,1888.635,79.278,480.569,-29.233,1.447,BBWMFoliage4,D9,yes,Q19,6,764229,146289,5244,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,RM,,,4.15,2081.974,75.193,501.681,-29.012,0.986,BBWMFoliage4,D10,yes,Q19,7,764230,146290,5245,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,SM,,,4.03,1914.393,63.816,475.036,-28.238,0.769,BBWMFoliage4,D11,yes,R15,13,764231,146291,5246,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,RS,,,4.18,2094.876,48.915,501.167,-26.685,12.475,BBWMFoliage4,D12,yes,R20,31,764232,146292,5247,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,SM,,,4.35,2094.876,87.521,481.581,-26.329,-0.311,BBWMFoliage4,E1,yes,S12,12,764233,146296,5248,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2014,EB,,RS,,,3.93,1965.928,35.23,500.236,-28.769,0.012,BBWMFoliage4,E2,yes,S22,11,764234,146297,5249,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2013,WB,,RS,,,4.01,2030.383,34.401,506.33,-28.896,2.339,BBWMFoliage4,E3,yes,D20,20,764235,146298,5250,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2012,WB,,RS,,,4.13,2081.974,38.726,504.11,-28.971,1.543,BBWMFoliage4,E4,yes,D20,20,764236,146299,5251,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2013,WB,,RS,,,3.92,2004.596,47.815,511.377,-28.262,4.121,BBWMFoliage4,E5,yes,F23,14,764237,146300,5252,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2012,WB,,RS,,,4.1,2107.78,43.32,514.093,-28.2,3.356,BBWMFoliage4,E6,yes,F23,14,764238,146301,5253,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2013,WB,,RS,,,4.04,2094.876,42.677,518.534,-26.916,9.854,BBWMFoliage4,E7,yes,F24,7,764239,146302,5254,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2012,WB,,RS,,,4.16,2133.591,39.553,512.883,-26.696,6.824,BBWMFoliage4,E8,yes,F24,7,764240,146303,5255,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2013,WB,,RS,,,4,2017.489,47.632,504.372,-28.139,12.064,BBWMFoliage4,E9,yes,H13,22,764241,146304,5256,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2012,WB,,RS,,,4.06,2094.876,45.798,515.979,-27.698,9.624,BBWMFoliage4,E10,yes,H13,22,764242,146305,5257,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2013,WB,,RS,,,4.18,2133.591,50.289,510.429,-31.006,3.837,BBWMFoliage4,E11,yes,Q10,2,764243,146306,5258,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2012,WB,,RS,,,3.93,2030.383,42.952,516.637,-30.406,2.554,BBWMFoliage4,E12,yes,Q10,2,764244,146307,5259,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2013,EB,,RS,,,4.24,2159.409,39.645,509.295,-27.558,7.437,BBWMFoliage4,F1,yes,K23,12,764245,146310,5260,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2012,EB,,RS,,,4.03,2069.074,37.254,513.418,-27.497,5.981,BBWMFoliage4,F2,yes,K23,12,764246,146311,5261,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2013,EB,,RS,,,4.29,2198.148,36.426,512.389,-28.496,6.55,BBWMFoliage4,F3,yes,N21,8,764247,146312,5262,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2012,EB,,RS,,,3.93,2030.383,25.733,516.637,-28.346,3.978,BBWMFoliage4,F4,yes,N21,8,764248,146313,5263,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2013,EB,,RS,,,4.2,2133.591,42.952,507.998,-30.561,4.936,BBWMFoliage4,F5,yes,P24,10,764249,146314,5264,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2012,EB,,RS,,,3.99,2043.278,37.254,512.1,-30.348,3.284,BBWMFoliage4,F6,yes,P24,10,764250,146315,5265,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2013,EB,,RS,,,4.11,2120.685,44.146,515.982,-27.465,9.2,BBWMFoliage4,F7,yes,R20,31,764251,146316,5266,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2012,EB,,RS,,,3.92,2030.383,35.506,517.955,-27.435,6.841,BBWMFoliage4,F8,yes,R20,31,764252,146317,5267,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2013,EB,,RS,,,3.94,2030.383,34.585,515.326,-29.732,-0.792,BBWMFoliage4,F9,yes,S22,11,764253,146318,5268,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2012,EB,,RS,,,4.16,2133.591,35.322,512.883,-29.649,-1.321,BBWMFoliage4,F10,yes,S22,11,764254,146319,5269,,,SPENCER BBWMFOLIAGE4 1014-2
foliage,2012,WB,,RS,,,3.99,1994.989,52.781,499.997,-28.108,2.08,Spencer BBWM Foliage,A1,,D20,20,,,5001,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,WB,,AB,,,4.08,2000.796,94.586,490.391,-30.128,8.366,Spencer BBWM Foliage,A2,,E20,7,,,5003,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,WB,,RS,,,4.04,2139.33,53.493,529.537,-29.507,5.776,Spencer BBWM Foliage,A3,,F23,14,,,5006,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,WB,,RM,,,3.95,1991.133,81.222,504.084,-29.896,1.405,Spencer BBWM Foliage,A4,,F23,8,,,5007,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,WB,,RS,,,3.99,2037.169,44.17,510.569,-27.626,2.123,Spencer BBWM Foliage,A5,,F24,7,,,5008,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,WB,,SM,,,3.9,1968.289,84.486,504.69,-30.751,3.854,Spencer BBWM Foliage,A6,,I15,3,,,5013,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,WB,,AB,,,4.09,2161.546,126.92,528.495,-30.081,3.205,Spencer BBWM Foliage,A7,,K15,1,,,5015,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,WB,,SM,,,3.97,2053.858,92.436,517.345,-29.655,2.705,Spencer BBWM Foliage,A8,,N10,5,,,5017,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,WB,,RM,,,4.11,2336.543,93.218,568.502,-30.07,2.727,Spencer BBWM Foliage,A9,,N11,10,,,5018,Contains more carbon than the largest standard,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,WB,,RM,,,4.02,2001.535,96.476,497.894,-29.953,1.863,Spencer BBWM Foliage,A10,,P11,2,,,5020,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,WB,,AB,,,3.97,1880.649,93.908,473.715,-30.413,0.442,Spencer BBWM Foliage,A11,,Q10,13,,,5022,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,WB,,SM,,,4.04,1969.639,78.427,487.534,-30.536,1.145,Spencer BBWM Foliage,A12,,Q9,2,,,5024,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,EB,,SM,,,3.95,1887.38,79.635,477.818,-31.213,-1.265,Spencer BBWM Foliage,B1,,M16,5,,,5027,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,EB,,RM,,,4.08,2111.91,81.103,517.625,-31.349,-1.073,Spencer BBWM Foliage,B2,,M16,1,,,5028,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,EB,,RM,,,4.18,2004.253,89.639,479.486,-29.821,-1.219,Spencer BBWM Foliage,B3,,O20,3,,,5034,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,EB,,AB,,,4,2006.779,109.519,501.695,-30.739,0.09,Spencer BBWM Foliage,B4,,P21,1,,,5036,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,EB,,RS,,,3.9,2025.701,60.701,519.411,-28.703,1.365,Spencer BBWM Foliage,B5,,P24,10,,,5039,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,EB,,AB,,,4.1,2116.718,111.71,516.273,-30.104,2.677,Spencer BBWM Foliage,B6,,P24,1,,,5040,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,EB,,AB,,,3.86,2078.985,96.847,538.597,-29.169,2.191,Spencer BBWM Foliage,B7,,P24,2,,,5041,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,EB,,RM,,,4.04,1984.802,75.702,491.288,-30.054,-1.873,Spencer BBWM Foliage,B8,,Q18,3,,,5042,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,EB,,RS,,,4.06,2143.65,40.696,527.993,-27.169,1.446,Spencer BBWM Foliage,B10,,R20,31,,,5058,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
foliage,2012,EB,,SM,,,3.94,1836.088,70.14,466.012,-28.234,-3.368,Spencer BBWM Foliage,B11,,S12,12,,,5059,,,SPENCER BBWMFOLIAGE&ROOTS2 0313
