sample_number,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,,,source_file,,,13C (at-%),15N (at-%)
6472,-29.86,1870.69,,,,,BBWM HERB 3 RE,A4,Herbaceous Sample,13C,yes,,3.87,773567,8042,,,Spencer BBWM-Herb3RE 1114,,,1.07841,
6454,-31.84,1862.18,,,,,BBWM HERB 3 RE,A5,Herbaceous Sample,13C,yes,,4,773568,8043,,,Spencer BBWM-Herb3RE 1114,,,1.07624,
6485,-30.39,1754.16,,,,,BBWM HERB 3 RE,A6,Herbaceous Sample,13C,yes,,3.9,773569,8044,,,Spencer BBWM-Herb3RE 1114,,,1.07783,
6490,-32.49,2072.43,,,,,BBWM HERB 3 RE,A7,Herbaceous Sample,13C,yes,,4.09,773570,8045,,,Spencer BBWM-Herb3RE 1114,,,1.07552,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
6201,-32.61,1884.78,,610.97,42.01,,BBWM HERB2,A1,herbaceous plant,"13C, 15N",yes,,3.97,654776,107747,,,Spencer BBWM-Herb2 0114,,,,
6202,-32.42,1995.75,,243.9,92.82,,BBWM HERB2,A2,herbaceous plant,"13C, 15N",yes,,4.15,654777,107748,,,Spencer BBWM-Herb2 0114,,,,
6204,-31.63,1916.49,,268.95,41.29,,BBWM HERB2,A3,herbaceous plant,"13C, 15N",yes,,3.95,654778,107749,,,Spencer BBWM-Herb2 0114,,,,
6205,-32.83,1979.9,,435.94,37.33,,BBWM HERB2,A4,herbaceous plant,"13C, 15N",yes,,4.08,654779,107750,,,Spencer BBWM-Herb2 0114,,,,
6206,-32.09,1995.75,,416.93,45.6,,BBWM HERB2,A5,herbaceous plant,"13C, 15N",yes,,4.13,654780,107751,,,Spencer BBWM-Herb2 0114,,,,
