sample_ID,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,Type of Material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,,,,source_file,,,
LL1833,-28.42,1962.21,,202.11,64.48,,Spencer Tray BBWMLL,E12,,,,,4.27,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.440011242
LL1834,-26.38,2046.84,,80.22,40.58,,Spencer Tray BBWMLL,F1,,,,,4.1,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.395570203
LL1835,-26.02,2170.37,,187.04,37.81,,Spencer Tray BBWMLL,F2,,,,,4.18,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.434520068
RLL1835,-25.98,2150.09,,189.14,37.59,,Spencer Tray BBWMLL,F3,,,,,4.14,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.435284398
LL1902,-28.25,1810.49,,168.33,54.31,,Spencer Tray BBWMLL,F4,,,,,4.11,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.427701119
LL1904,-28.54,2125.33,,219.8,45.33,,Spencer Tray BBWMLL,F5,,,,,4.3,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.446458002
LL1905,-29.77,2296.73,,38.5,68.63,,Spencer Tray BBWMLL,F6,,,,,4.38,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.38035313
LL1912,-26.3,2076.05,,66.46,46.5,,Spencer Tray BBWMLL,F7,,,,,4.25,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.390551092
LL1914,-26.48,2207.06,,147.22,36.69,,Spencer Tray BBWMLL,F8,,,,,4.22,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.420004167
LL1915,-25.7,2176.24,,71.82,34.41,,Spencer Tray BBWMLL,F9,,,,,4.16,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.392508199
LL1922,-29.38,2259.26,,97.75,73.52,,Spencer Tray BBWMLL,F10,,,,,4.33,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.401966913
LL1924,-28.59,1744.58,,47.59,56.76,,Spencer Tray BBWMLL,F11,,,,,4.45,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.383668673
LL1925,-27.78,1999.22,,75.49,67.51,,Spencer Tray BBWMLL,F12,,,,,4.09,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.393847602
LL1933,-26.46,1721.87,,54.6,28.85,,Spencer Tray BBWMLL,G1,,,,,3.91,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.386224762
LL1934,-26.68,1855.16,,31.21,60.58,,Spencer Tray BBWMLL,G2,,,,,4.17,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.377693296
LL1935,-26.42,2050.32,,71.34,53.66,,Spencer Tray BBWMLL,G3,,,,,4.14,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.39233217
RLL1935,-26.52,2179.22,,71.41,56.6,,Spencer Tray BBWMLL,G4,,,,,4.19,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.392357784
Blank,,,Below detection,173.67,2.01,Contains less nitrogen than smallest standard,Spencer Tray BBWMLL,G5,,,,,0,,,,,,Copy of Spencer BBWMLL1400-1900 0325 (sent),,,0.429646132
