sample_ID,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,Type of Material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,,,,source_file,,,
LL1115,-26.51,2464.6,,99.37,57.01,,BBWM LL TRAY 2,B7,Loose Litter,"13C, 15N",Yes,,4.56,488623,49723,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1122,-28.52,2447.74,,79.31,99.74,,BBWM LL TRAY 2,B8,Loose Litter,"13C, 15N",Yes,,4.9,488624,49724,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1124,-27.98,2194.38,,87.16,85.78,,BBWM LL TRAY 2,B9,Loose Litter,"13C, 15N",Yes,,4.66,488625,49725,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1125,-28.35,2548.84,,230,87.4,,BBWM LL TRAY 2,B10,Loose Litter,"13C, 15N",Yes,,4.95,488626,49726,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1133,-27.05,2414.01,,269.08,53.45,,BBWM LL TRAY 2,B11,Loose Litter,"13C, 15N",Yes,,4.77,488627,49727,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1134,-27.09,2450.55,,41.99,77.68,,BBWM LL TRAY 2,B12,Loose Litter,"13C, 15N",Yes,,4.77,488628,49728,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1135,-26.96,2388.7,,66.51,60.65,,BBWM LL TRAY 2,C1,Loose Litter,"13C, 15N",Yes,,4.58,488629,49732,,,,Copy of Spencer BBWMLLTray2 1112,,,
RLL1135,-26.87,2312.72,,67.06,58.65,,BBWM LL TRAY 2,C2,Loose Litter,"13C, 15N",Yes,,4.35,488630,49733,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1202,-28.98,1673.7,,190.57,53.9,,BBWM LL TRAY 2,C3,Loose Litter,"13C, 15N",Yes,,4.73,488631,49734,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1204,-29.57,2225.39,,261.57,62.65,,BBWM LL TRAY 2,C4,Loose Litter,"13C, 15N",Yes,,4.75,488632,49735,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1205,-28.31,2383.07,,259.12,79.4,,BBWM LL TRAY 2,C5,Loose Litter,"13C, 15N",Yes,,4.83,488633,49736,,,,Copy of Spencer BBWMLLTray2 1112,,,
LL1212,-25.95,2616.16,,70.01,52.9,,BBWM LL TRAY 2,C6,Loose Litter,"13C, 15N",Yes,,4.69,488634,49737,,,,Copy of Spencer BBWMLLTray2 1112,,,
