sample_ID,d13C,C_Amount_ug,d13C_Comment,d15N,N_Amount_ug,d15N_Comment,Tray Name,Well Id,Type_of_Material,Analysis,Enriched?,Estimated Enrichment,amount_mg,OurLabID,Analysis Number,source_file
C115,-26.67,197.16,,-1.45,2.68,Too small,BBWM WOOD 2 Under 8mg,B1,WOOD,"13C, 15N",NO,,0.37,417058,136392,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C116,-27.65,1851.91,,-2.76,6.54,Too small,BBWM WOOD 2 Under 8mg,B2,WOOD,"13C, 15N",NO,,3.59,417059,136393,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
Blk 4,-29.63,1.98,Too small,-11.41,1.36,Too small,BBWM WOOD 2 Under 8mg,B3,WOOD,"13C, 15N",NO,,0,417060,136394,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C118,-24.96,1376.42,,0.63,6.06,Too small,BBWM WOOD 2 Under 8mg,B4,WOOD,"13C, 15N",NO,,2.67,417061,136395,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C119,-25.32,1518.79,,-1.37,5.89,Too small,BBWM WOOD 2 Under 8mg,B5,WOOD,"13C, 15N",NO,,3.02,417062,136396,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C120,-25.02,230.03,,-12.88,2.16,Too small,BBWM WOOD 2 Under 8mg,B6,WOOD,"13C, 15N",NO,,0.47,417063,136397,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C121,-25.2,3534.87,,0.37,8.84,Too small,BBWM WOOD 2 Under 8mg,B7,WOOD,"13C, 15N",NO,,7.13,417064,136398,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C122,-26.54,1245.73,,-5.12,3.97,Too small,BBWM WOOD 2 Under 8mg,B8,WOOD,"13C, 15N",NO,,2.58,417065,136399,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C123,-25.28,1278.98,,0.58,5.18,Too small,BBWM WOOD 2 Under 8mg,B9,WOOD,"13C, 15N",NO,,2.63,417066,136400,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C124,-25.33,348.63,,-5.37,2.52,Too small,BBWM WOOD 2 Under 8mg,B10,WOOD,"13C, 15N",NO,,0.75,417067,136401,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C125,-25.77,423.84,,-2.26,2.93,Too small,BBWM WOOD 2 Under 8mg,B11,WOOD,"13C, 15N",NO,,0.83,417068,136402,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C126,-21.05,1.86,Too small,-8.79,1.37,Too small,BBWM WOOD 2 Under 8mg,B12,WOOD,"13C, 15N",NO,,0.04,417069,136403,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C127,-28.54,1951.17,,3.29,7.39,Too small,BBWM WOOD 2 Under 8mg,C1,WOOD,"13C, 15N",NO,,4.08,417070,136407,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C128,-27.93,2334.19,,1,7.51,Too small,BBWM WOOD 2 Under 8mg,C2,WOOD,"13C, 15N",NO,,4.68,417071,136408,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C129,-28.08,2787.2,,1.88,11.44,Precision decreases for samples containing less than 20ugN,BBWM WOOD 2 Under 8mg,C3,WOOD,"13C, 15N",NO,,5.86,417072,136409,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C130,-37.72,2.38,Too small,-13.43,1.41,Too small,BBWM WOOD 2 Under 8mg,C4,WOOD,"13C, 15N",NO,,0,417073,136410,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C131,-27.03,266.74,,-4.19,1.88,Too small,BBWM WOOD 2 Under 8mg,C5,WOOD,"13C, 15N",NO,,0.46,417074,136411,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C132,-28.28,166.63,,0.11,1.89,Too small,BBWM WOOD 2 Under 8mg,C6,WOOD,"13C, 15N",NO,,0.23,417075,136412,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C133,-25.97,760.76,,0.85,3.17,Too small,BBWM WOOD 2 Under 8mg,C7,WOOD,"13C, 15N",NO,,1.6,417076,136413,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
C134,-24.95,1444.61,,2.53,6.06,Too small,BBWM WOOD 2 Under 8mg,C8,WOOD,"13C, 15N",NO,,2.94,417077,136414,Copy of Spencer BBWM Wood1&2 - samples under 8mg 0512
