sample_ID,material,watershed,forest,Plot,Chase,Trmt,species,year,amount_mg,d13C,C_amount_ug,d13C Comment,d15N,N_amount_ug,d15N Comment,Tray Name,Well Id,Analysis,Enriched?,Estimated Enrichment,OurLabID,Analysis Number,[C] mg/g,[N] mg/g,lf_type,source_file,year
13-097,Litterfall,EB,SW,5,468,no P,woody,2013,4.56,-26.5,2462.7,,-2.68,23.69,,BBWM LF2013,B12,"13C,15N",Yes,,742058,4597,540,5.19,woody,Spencer BBWM-LF-2013 0814,2013
13-111,Litterfall,WB,HW,2,468,no P,AB,2013,4.68,-29.65,2333.58,,5.97,55.43,,BBWM LF2013,C1,"13C,15N",Yes,,742059,4601,499,11.84,non-woody,Spencer BBWM-LF-2013 0814,2013
13-112,Litterfall,WB,HW,2,468,no P,YB,2013,4.46,-30.52,2192.91,,14.21,61.41,,BBWM LF2013,C2,"13C,15N",Yes,,742060,4602,492,13.77,non-woody,Spencer BBWM-LF-2013 0814,2013
13-113,Litterfall,WB,HW,2,468,no P,RM,2013,4.45,-27.79,2215.44,,5.62,47.82,,BBWM LF2013,C3,"13C,15N",Yes,,742061,4603,498,10.75,non-woody,Spencer BBWM-LF-2013 0814,2013
13-114,Litterfall,WB,HW,2,468,no P,SM,2013,4.43,-28.39,2215.44,,6.35,51.43,,BBWM LF2013,C4,"13C,15N",Yes,,742062,4604,500,11.61,non-woody,Spencer BBWM-LF-2013 0814,2013
13-117,Litterfall,WB,HW,2,468,no P,woody,2013,4.43,-28.69,2209.81,,1.59,18.77,,BBWM LF2013,C5,"13C,15N",Yes,,742063,4605,499,4.24,woody,Spencer BBWM-LF-2013 0814,2013
13-121,Litterfall,WB,HW,3,468,no P,AB,2013,4.45,-30.41,2204.18,,5.03,51.03,,BBWM LF2013,C6,"13C,15N",Yes,,742064,4606,495,11.47,non-woody,Spencer BBWM-LF-2013 0814,2013
13-122,Litterfall,WB,HW,3,468,no P,YB,2013,4.4,-28.75,2153.47,,11.25,50.63,,BBWM LF2013,C7,"13C,15N",Yes,,742065,4607,489,11.51,non-woody,Spencer BBWM-LF-2013 0814,2013
13-124,Litterfall,WB,HW,3,468,no P,SM,2013,4.43,-28.95,2164.74,,3.89,43.81,,BBWM LF2013,C8,"13C,15N",Yes,,742066,4608,489,9.89,non-woody,Spencer BBWM-LF-2013 0814,2013
13-127,Litterfall,WB,HW,3,468,no P,woody,2013,4.56,-29.39,2378.52,,1.92,40.07,,BBWM LF2013,C9,"13C,15N",Yes,,742067,4609,522,8.79,woody,Spencer BBWM-LF-2013 0814,2013
13-131,Litterfall,WB,HW,4,468,no P,AB,2013,4.58,-29.59,2327.96,,7.86,50.63,,BBWM LF2013,C10,"13C,15N",Yes,,742068,4610,508,11.05,non-woody,Spencer BBWM-LF-2013 0814,2013
13-132,Litterfall,WB,HW,4,468,no P,YB,2013,4.4,-29.04,2209.81,,13.01,57.83,,BBWM LF2013,C11,"13C,15N",Yes,,742069,4611,502,13.14,non-woody,Spencer BBWM-LF-2013 0814,2013
13-134,Litterfall,WB,HW,4,468,no P,SM,2013,4.56,-26.28,2327.96,,6.98,53.83,,BBWM LF2013,C12,"13C,15N",Yes,,742070,4612,511,11.81,non-woody,Spencer BBWM-LF-2013 0814,2013
13-137,Litterfall,WB,HW,4,468,no P,woody,2013,4.51,-28.49,2322.33,,1.97,35.75,,BBWM LF2013,D1,"13C,15N",Yes,,742071,4617,515,7.93,woody,Spencer BBWM-LF-2013 0814,2013
13-141,Litterfall,WB,HW,5,468,no P,AB,2013,4.61,-27.57,2204.18,,3.22,33.09,,BBWM LF2013,D2,"13C,15N",Yes,,742072,4618,478,7.18,non-woody,Spencer BBWM-LF-2013 0814,2013
13-142,Litterfall,WB,HW,5,468,no P,YB,2013,4.42,-28.22,2215.44,,17,55.83,,BBWM LF2013,D3,"13C,15N",Yes,,742073,4619,501,12.63,non-woody,Spencer BBWM-LF-2013 0814,2013
13-147,Litterfall,WB,HW,5,468,no P,woody,2013,4.63,-29.54,2311.09,,1.54,25.27,,BBWM LF2013,D4,"13C,15N",Yes,,742074,4620,499,5.46,woody,Spencer BBWM-LF-2013 0814,2013
13-165,Litterfall,WB,SW,2,468,no P,RS,2013,4.45,-27.93,2311.09,,5.37,40.59,,BBWM LF2013,D5,"13C,15N",Yes,,742075,4621,519,9.12,non-woody,Spencer BBWM-LF-2013 0814,2013
13-167,Litterfall,WB,SW,2,468,no P,woody,2013,4.56,-26.01,2384.14,,4.12,29.93,,BBWM LF2013,D6,"13C,15N",Yes,,742076,4622,523,6.56,woody,Spencer BBWM-LF-2013 0814,2013
13-175,Litterfall,WB,SW,3,468,no P,RS,2013,4.44,-27.94,2316.71,,3.73,35.19,,BBWM LF2013,D7,"13C,15N",Yes,,742077,4623,522,7.93,non-woody,Spencer BBWM-LF-2013 0814,2013
13-177,Litterfall,WB,SW,3,468,no P,woody,2013,4.46,-25.95,2260.47,,2.71,27.42,,BBWM LF2013,D8,"13C,15N",Yes,,742078,4624,507,6.15,woody,Spencer BBWM-LF-2013 0814,2013
13-185,Litterfall,WB,SW,4,468,no P,RS,2013,4.53,-27.81,2367.29,,4.06,45.82,,BBWM LF2013,D9,"13C,15N",Yes,,742079,4625,523,10.11,non-woody,Spencer BBWM-LF-2013 0814,2013
13-187,Litterfall,WB,SW,4,468,no P,woody,2013,4.42,-25.87,2294.22,,1.25,33.21,,BBWM LF2013,D10,"13C,15N",Yes,,742080,4626,519,7.51,woody,Spencer BBWM-LF-2013 0814,2013
13-195,Litterfall,WB,SW,5,468,no P,RS,2013,4.54,-28.08,2372.9,,2.97,50.63,,BBWM LF2013,D11,"13C,15N",Yes,,742081,4627,523,11.15,non-woody,Spencer BBWM-LF-2013 0814,2013
13-197,Litterfall,WB,SW,5,468,no P,woody,2013,4.66,-25.87,2327.96,,0.3,27.42,,BBWM LF2013,D12,"13C,15N",Yes,,742082,4628,500,5.88,woody,Spencer BBWM-LF-2013 0814,2013
,,,,,,,,,,,,,,,,,,,,,,,,,,,
LF12_41,Woody Litter Fall,EB,SW,1,,,,2012,15,,,,7.98,89.15,,BBWM LF12WOOD,A1,"13C, 15N",Yes,,663583,218784,,5.943574002,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_49,Woody Litter Fall,EB,SW,2,,,,2012,15.3,,,,1.93,113.65,,BBWM LF12WOOD,A2,"13C, 15N",Yes,,663584,218785,,7.428076077,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_57,Woody Litter Fall,EB,SW,3,,,,2012,15.5,,,,-3.09,113.65,,BBWM LF12WOOD,A3,"13C, 15N",Yes,,663585,218786,,7.332229934,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_65,Woody Litter Fall,EB,SW,4,,,,2012,15.13,,,,-3,125.07,,BBWM LF12WOOD,A4,"13C, 15N",Yes,,663586,218787,,8.266499659,woody,Spencer BBWM-LF12WOOD 0214,2012
meanLF12_72,Woody Litter Fall,EB,SW,5,,,,2012,15.225,,,,2.28,126.2,,BBWM LF12WOOD,--,"13C, 15N",Yes,,,,,8.288675059,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_112,Woody Litter Fall,WB,SW,1,,,,2012,15.25,,,,6.45,139.14,,BBWM LF12WOOD,A6,"13C, 15N",Yes,,663588,218789,,9.123794792,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_119,Woody Litter Fall,WB,SW,2,,,,2012,15.15,,,,4.35,98.78,,BBWM LF12WOOD,A7,"13C, 15N",Yes,,663589,218790,,6.520006769,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_126,Woody Litter Fall,WB,SW,3,,,,2012,15.13,,,,4.2,29.52,,BBWM LF12WOOD,A8,"13C, 15N",Yes,,663590,218791,,1.951141744,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_132,Woody Litter Fall,WB,SW,4,,,,2012,15.05,,,,2.8,146.36,,BBWM LF12WOOD,A9,"13C, 15N",Yes,,663591,218792,,9.724919196,woody,Spencer BBWM-LF12WOOD 0214,2012
LF12_139,Woody Litter Fall,WB,SW,5,,,,2012,15,,,,4.38,112.11,,BBWM LF12WOOD,A10,"13C, 15N",Yes,,663592,218793,,7.473690029,woody,Spencer BBWM-LF12WOOD 0214,2012
